empresa_id,plano_conta_nivel_03,codigo_plano_04,conta_contabil
401,2.02.019 - PJ EDUARDO,2.02.019.001 - PJ EDUARDO,0
401,2.03.001 - HARDWARE AUTOMACAO,2.03.001.002 - FORNECEDORES DIVERSOS,0
401,2.03.001 - HARDWARE AUTOMACAO,2.03.001.188 - IPX DIGITAL & ECO LOGICA CUP LTDA,0
401,2.03.001 - HARDWARE AUTOMACAO,2.03.001.162 - POSTO VIA ESTRUTURAL COMERCIO DE DERIVADOS DE PETROLEO LTDA,0
401,2.03.001 - HARDWARE AUTOMACAO,2.03.001.206 - VGS COMERCIO VAREJISTA DE MATERIAL DE CONSTRUCAO LTDA,0
401,2.04.001 - SOFTWARE AUTOMACAO,2.04.001.003 - LICENCA WINDOWS MICROSOFT,0
401,2.04.002 - DATACENTER CONSUMO MENSAL,2.04.002.002 - AMAZON AWS,0
401,2.04.002 - DATACENTER CONSUMO MENSAL,2.04.002.003 - APPLE,0
401,2.04.002 - DATACENTER CONSUMO MENSAL,2.04.002.009 - HEROKU,0
401,2.04.002 - DATACENTER CONSUMO MENSAL,2.04.002.011 - HOSTINGER,0
401,2.04.002 - DATACENTER CONSUMO MENSAL,2.04.002.010 - NEW RELIC,0
401,2.04.002 - DATACENTER CONSUMO MENSAL,2.04.002.008 - VERCEL,0
401,2.04.004 - DATA CENTER ANTECIPACAO,2.04.004.001 - DATA CENTER ANTECIPACAO,0
401,2.05.003 - COMBUSTIVEL,2.05.003.016 - KWID OVO-1D16,0
401,2.05.003 - COMBUSTIVEL,2.05.003.005 - KWID PBX3824,0
401,2.05.003 - COMBUSTIVEL,2.05.003.011 - KWID REQ-0H60,0
401,2.05.003 - COMBUSTIVEL,2.05.003.012 - KWID REQ-0H67,0
401,2.05.003 - COMBUSTIVEL,2.05.003.015 - KWID SSM-0C56,0
401,2.05.004 - COMISSAO FACILITADOR,2.05.004.001 - COMISSAO COMERCIAL,0
401,2.05.004 - COMISSAO FACILITADOR,2.05.004.005 - COMISSAO DESENVOLVIMENTO,0
401,2.05.004 - COMISSAO FACILITADOR,2.05.004.002 - COMISSAO SUCESSO DO CLIENTE,0
401,2.06.022 - SMART FIT TOTAL PASS,2.06.022.001 - SMART FIT TOTAL PASS,0
401,2.07.010 - MANUTENCAO E REFORMA,2.07.010.001 - MANUTENCAO EQUIPAMENTOS,0
401,2.07.021 - DESPESAS EXECUTIVAS,2.07.021.001 - REFEICAO DIRETORIA,0
401,2.08.001 - PERDAS E PREJUIZOS,2.08.001.002 - MULTAS JUDICIAIS,0
401,2.09.001 - VALLOO REEMBOLSO,2.09.001.003 - VALLOO REEEBOLSO SUCESSO DO CLIENTE,0
401,2.09.001 - VALLOO REEMBOLSO,2.09.001.002 - VALLOO REEMBOLSO COMERCIAL,0
401,2.09.001 - VALLOO REEMBOLSO,2.09.001.001 - VALLOO REEMBOLSO ADMINISTRATIVO,0
401,2.09.001 - VALLOO REEMBOLSO,2.09.001.004 - VALLOO REEMBOLSO DESENVOLVIMENTO,0
401,2.09.001 - VALLOO REEMBOLSO,2.09.001.007 - VALLOO REEMBOLSO DIRETORIA,0
401,2.09.001 - VALLOO REEMBOLSO,2.09.001.006 - VALLOO REEMBOLSO MARKETING,0
401,2.09.001 - VALLOO REEMBOLSO,2.09.001.005 - VALLOO REEMBOLSO OPERACIONAL,0
401,2.09.002 - VALLOO ANIVERSARIO,2.09.002.002 - VALLOO ANIVERSARIO COMERCIAL,0
401,2.09.002 - VALLOO ANIVERSARIO,2.09.002.004 - VALLOO ANIVERSARIO DESENVOLVIMENTO,0
401,2.09.002 - VALLOO ANIVERSARIO,2.09.002.005 - VALLOO ANIVERSARIO OPERACIONAL,0
401,2.09.002 - VALLOO ANIVERSARIO,2.09.002.003 - VALLOO ANIVERSARIO SUCESSO DO CLIENTE,0
401,2.09.002 - VALLOO ANIVERSARIO,2.09.002.001 - VALLOO ANIVERSARIO ADMINISTRATIVO,0
